uid,name,age,gender,zip
0,Gordan E Acost,83,M,73188
1,Leonis R Cherd,5,M,18107
2,Bennor F Quintes,32,M,60519
4,Amine G Acoster,9,F,38492
5,Ellin L Marton,32,M,52050
6,Alaire L Lowers,56,F,12328
9,Elissa R Osbornes,58,F,14207
11,Calvatore P Gilber,24,M,32581
13,Grahir I Nichann,59,M,15480
14,Aalia P Hayders,29,F,12221
15,Corbyn G Glasquez,84,M,55514
17,Ellia I Herren,26,F,16933
18,Dalter M Martler,95,M,61567
19,Patric Z Fordovak,17,M,10646
20,Nick T Villin,95,M,63374
21,Becken M Groster,17,M,27580
22,Beatric G Sweenez,98,F,58519
23,Alissa Z Harmond,74,F,72112
24,Sienne L Corters,65,F,43604
27,Laina K Maynes,33,F,73551
